1	hjelm	Brandmanden tog sin ______ på.
1	hjelm	En ______ beskytter hovedet under indsatsen.
1	hjelm	Brandmandens ______ sad fastspændt.
1	hjelm	Før afgang kontrollerede han sin ______.
1	hjelm	Den gule ______ lå klar i bilen.
1	slange	Brandfolkene rullede en ______ ud.
1	slange	En ______ blev trukket frem mod bygningen.
1	slange	Vandet løb gennem den lange ______.
1	slange	Brandmanden koblede en ______ på pumpen.
1	slange	Mandskabet lagde en ______ langs vejen.
1	stige	Brandfolkene rejste en ______ mod huset.
1	stige	En ______ blev brugt for at nå vinduet.
1	stige	Brandmanden bar en ______ fra bilen.
1	stige	Mandskabet sikrede den opstillede ______.
1	stige	En lang ______ gav adgang til taget.
1	røg	Der kom tæt ______ ud fra vinduet.
1	røg	Brandfolkene kunne se sort ______ over huset.
1	røg	Vinden førte ______ væk fra bygningen.
1	røg	En sky af ______ gjorde sigtbarheden dårlig.
1	røg	Brandmanden holdt øje med farven på ______.
1	brandbil	En rød ______ ankom med blå blink.
1	brandbil	Mandskabet steg ud af deres ______.
1	brandbil	Udstyret lå pakket i en ______.
1	brandbil	Den store ______ holdt tæt ved adressen.
1	brandbil	Efter indsatsen kørte holdet hjem i sin ______.
1	vand	Brandfolkene brugte ______ til slukningen.
1	vand	Der blev lagt en forsyning med ______.
1	vand	Pumpen sendte ______ frem gennem slangen.
1	vand	Mandskabet sikrede nok ______ til indsatsen.
1	vand	Der løb ______ fra strålerøret.
2	røgdykker	En ______ gik ind i bygningen med luft på ryggen.
2	røgdykker	Holdlederen sendte en ______ frem.
2	røgdykker	En ______ søgte efter personer i røgen.
2	røgdykker	Den første ______ meldte tilbage fra bygningen.
2	røgdykker	En ______ kontrollerede rummet bag døren.
2	strålerør	Brandmanden åbnede sit ______.
2	strålerør	Vandet blev styret gennem et ______.
2	strålerør	Et ______ sad for enden af slangen.
2	strålerør	Brandmanden justerede sit ______ under slukningen.
2	strålerør	Mandskabet kontrollerede, at ______ virkede før indsatsen.
2	pumpe	Chaufføren startede bilens ______.
2	pumpe	En ______ sørgede for vandtryk i slangerne.
2	pumpe	Brandmanden overvågede trykket på ______.
2	pumpe	Vandet blev sendt frem ved hjælp af en ______.
2	pumpe	Efter indsatsen blev ______ stoppet.
2	brandhane	Brandfolkene fandt en ______ ved vejen.
2	brandhane	Vandforsyningen blev koblet til en ______.
2	brandhane	En ______ gav ekstra vand til slukningen.
2	brandhane	Chaufføren åbnede den nærmeste ______.
2	brandhane	Slangen blev lagt fra en ______ til brandbilen.
2	indsatsleder	En ______ skabte overblik over brandstedet.
2	indsatsleder	______ fordelte opgaverne mellem holdene.
2	indsatsleder	Mandskabet gav en status til deres ______.
2	indsatsleder	En ______ besluttede den overordnede plan.
2	indsatsleder	Politiet talte med brandvæsenets ______.
2	holdleder	En ______ gav en kort briefing til mandskabet.
2	holdleder	______ fordelte opgaverne på bilen.
2	holdleder	Mandskabet meldte tilbage til sin ______.
2	holdleder	En ______ fulgte udviklingen tæt.
2	holdleder	Før indtrængning gav ______ de sidste instruktioner.
2	evakuering	Brandvæsenet begyndte en ______ af bygningen.
2	evakuering	En hurtig ______ fik beboerne ud.
2	evakuering	Politiet hjalp med ______ af området.
2	bygning	Røgdykkerne gik ind i den brændende ______.
2	brandslange	Brandfolkene rullede en ______ ud fra bilen.
3	røgdykning	Holdet gjorde klar til ______.
3	røgdykning	Under ______ arbejdede brandfolkene i tæt røg.
3	røgdykning	En sikker procedure er vigtig ved ______.
3	røgdykning	Brandfolkene bar åndedrætsværn under ______.
3	røgdykning	Holdlederen fulgte tiden under mandskabets ______.
3	vandforsyning	Chaufføren etablerede en stabil ______.
3	vandforsyning	En god ______ var nødvendig til den store brand.
3	vandforsyning	Brandfolkene planlagde ______ fra brandhanen.
3	vandforsyning	Indsatslederen spurgte til den aktuelle ______.
3	vandforsyning	Ekstra slanger sikrede bedre ______.
3	overtryksventilation	Brandfolkene brugte ______ til at fjerne røg.
3	overtryksventilation	En ventilator blev placeret til ______.
3	overtryksventilation	______ kan hjælpe med at skabe bedre sigt.
3	overtryksventilation	Holdlederen planlagde ______ efter slukningen.
3	overtryksventilation	Døre og vinduer blev koordineret under ______.
3	varmekamera	Brandmanden brugte et ______ til at finde varme.
3	varmekamera	Et ______ viste en varm plet i væggen.
3	varmekamera	Holdet kontrollerede loftet med et ______.
3	varmekamera	Et ______ hjalp med at finde skjulte gløder.
3	varmekamera	Efter slukningen blev området scannet med et ______.
3	slukningsarbejde	Mandskabet begyndte det lange ______.
3	slukningsarbejde	Under ______ blev branden gradvist mindre.
3	slukningsarbejde	Flere hold deltog i ______.
3	slukningsarbejde	Vandforsyningen var vigtig for det fortsatte ______.
3	slukningsarbejde	Efter flere timer kunne ______ afsluttes.
3	brandspredning	Holdlederen vurderede risikoen for ______.
3	brandspredning	Vinden kunne øge en hurtig ______.
3	brandspredning	Brandfolkene forsøgte at begrænse ______ til taget.
3	briefing	Holdlederen gav en kort ______ til mandskabet.
3	evakuering	Brandvæsenet begyndte en ______ af beboerne.
4	åndedrætsværn	Røgdykkeren kontrollerede sit ______.
4	åndedrætsværn	Et ______ leverer luft i farlig røg.
4	åndedrætsværn	Brandmanden spændte sit ______ fast.
4	åndedrætsværn	Trykket i røgdykkerens ______ blev kontrolleret.
4	åndedrætsværn	Efter indsatsen blev hvert ______ gjort klar igen.
4	sikkerhedshold	Et ______ stod klar til at hjælpe røgdykkerne.
4	sikkerhedshold	Holdlederen placerede et ______ uden for bygningen.
4	sikkerhedshold	Et ______ fulgte røgdykkerindsatsen tæt.
4	sikkerhedshold	Ved indtrængningen var et ______ gjort klar.
4	sikkerhedshold	Indsatslederen sikrede, at der var et ______ til rådighed.
4	indsatsområde	Politiet holdt uvedkommende væk fra ______.
4	indsatsområde	Kun nødvendigt mandskab måtte gå ind i ______.
4	indsatsområde	Indsatslederen organiserede køretøjerne i ______.
4	indsatsområde	Der blev skabt tydelige adgangsveje til ______.
4	indsatsområde	Alle enheder fik besked om grænserne for ______.
4	efterslukning	Brandfolkene fortsatte med ______ efter flammerne var væk.
4	efterslukning	Under ______ blev skjulte gløder fundet.
4	efterslukning	Et varmekamera blev brugt ved ______.
4	efterslukning	Mandskabet åbnede konstruktionen under ______.
4	efterslukning	Grundig ______ mindsker risikoen for, at branden blusser op igen.
4	brandventilation	Holdlederen planlagde ______ for at styre røgen.
4	brandventilation	Åbningerne blev koordineret under ______.
4	brandventilation	God ______ kan forbedre forholdene for røgdykkerne.
4	brandventilation	Vinden blev vurderet før ______ blev iværksat.
4	brandventilation	Mandskabet fulgte planen for ______ nøje.
4	slukningsindsats	Indsatslederen koordinerede en større ______.
4	slukningsindsats	Flere brandbiler deltog i den samme ______.
4	slukningsindsats	Vand og mandskab blev fordelt under ______.
4	slukningsindsats	En effektiv ______ krævede et godt overblik.
4	slukningsindsats	Efter flere timers arbejde blev ______ afsluttet.
